date, another entry
2019-12-31,27

2020-01-01,27

2020-01-02,27

2020-01-03,44

2020-01-04,44

2020-01-05,59

2020-01-06,59

2020-01-07,59

2020-01-08,59

2020-01-09,59

2020-01-10,59

2020-01-11,59

2020-01-12,59

2020-01-13,60

2020-01-14,60

2020-01-15,61

2020-01-16,61

2020-01-17,66

2020-01-18,83

2020-01-19,219

2020-01-20,239

2020-01-21,392

2020-01-22,534

2020-01-23,631

2020-01-24,897

2020-01-25,1350

2020-01-26,2023

2020-01-27,2820

2020-01-28,4587

2020-01-29,6067

2020-01-30,7823

2020-01-31,9826

2020-02-01,11946

2020-02-02,14554

2020-02-03,17372

2020-02-04,20615

2020-02-05,24522

2020-02-06,28273

2020-02-07,31491

2020-02-08,34933

2020-02-09,37552

2020-02-10,40540

2020-02-11,43105

2020-02-12,45177

2020-02-13,60328

2020-02-14,64543

2020-02-15,67103

2020-02-16,69265

2020-02-17,71332

2020-02-18,73327

2020-02-19,75191

2020-02-20,75723

2020-02-21,76719

2020-02-22,77804

2020-02-23,78812

2020-02-24,79339

2020-02-25,80132

2020-02-26,80995

2020-02-27,82101

2020-02-28,83365

2020-02-29,85203

2020-03-01,87024

2020-03-02,89068

2020-03-03,90664

2020-03-04,93077

2020-03-05,95316

2020-03-06,98172

2020-03-07,102133

2020-03-08,105824

2020-03-09,109695

2020-03-10,114232

2020-03-11,118610

2020-03-12,125497

2020-03-13,133852

2020-03-14,143227

2020-03-15,151367

2020-03-16,167418

2020-03-17,180096

2020-03-18,194836

2020-03-19,213150

2020-03-20,242364

2020-03-21,271106

2020-03-22,305117

2020-03-23,338133

2020-03-24,377918

2020-03-25,416845

2020-03-26,468049

2020-03-27,527767

2020-03-28,591704

2020-03-29,656866

2020-03-30,715353

2020-03-31,777796

2020-04-01,851308

2020-04-02,928436

2020-04-03,1000249

2020-04-04,1082054

2020-04-05,1174652

